root_id,flow,super_class,class,sub_class,hemilineage,side,nerve,primary_type,nt_type
720575940604910270,intrinsic,central,,,putative_primary,right,,SMP152,ACH
720575940607237810,intrinsic,central,,,putative_primary,left,,CL356,ACH
720575940608082990,intrinsic,central,,,VLPl2_medial,left,,CL062_b,ACH
720575940609342020,intrinsic,central,,,CLp1_or_SLPpm2,left,,CL154,GLUT
720575940609979610,intrinsic,central,,,SLPad1_posterior,left,,SMP208,GLUT
720575940610486830,intrinsic,central,,,VPNl&d1_dorsal,right,,CB1912,ACH
720575940611246810,intrinsic,central,,,VESa1,left,,CB3547,GABA
720575940611403730,intrinsic,central,,,DM1_antero_ventral,left,,ATL030,
720575940612344690,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,right,,Li10,GLUT
720575940612534990,intrinsic,central,,,LHl2_ventral,left,,CB2402,GLUT
720575940613795880,intrinsic,central,,,VLPl4_dorsal,right,,PLP003,GABA
720575940613998790,intrinsic,central,,,VLPl2_medial,right,,AVLP194_c,ACH
720575940614677410,intrinsic,central,,,VLPd&p1_posterior,left,,SLP327,ACH
720575940615512130,intrinsic,central,LHLN,,LHp1,left,,CB2786,GLUT
720575940617327590,intrinsic,central,ALLN,,ALv2,right,,CB3172,GLUT
720575940617552340,intrinsic,central,MBON,,putative_primary,right,,MBON02,GABA
720575940617755220,intrinsic,central,,,putative_primary,right,,CB0579,ACH
720575940620231590,efferent,descending,,,MX3,left,CV,DNge088,GLUT
720575940620685750,intrinsic,central,,,SLPad1_anterior,right,,CB3605,ACH
720575940621743860,intrinsic,central,,,LHl1,left,,CB3761,GLUT
720575940622235930,efferent,motor,brain_motor_neuron,antennal_motor_neuron,putative_primary,right,AN,CB0723,
720575940622661820,intrinsic,central,,,VLPl1_or_VLPl5,left,,CB3366,ACH
720575940622871540,intrinsic,central,,,putative_primary,right,,PLP247,
720575940623439850,intrinsic,central,,,DM6_posterior,left,,CB2652,GLUT
720575940623837880,intrinsic,central,,,DM4_dorsal,left,,CB3136,ACH
720575940624746940,intrinsic,central,mAL,,CREa1_ventral,right,,mAL6,GABA
720575940625334970,intrinsic,central,,,putative_primary,right,,CL359,ACH
720575940626132030,intrinsic,central,,,SLPal1,left,,LHAD1f4c,GLUT
720575940626160740,intrinsic,central,,,LHd1,left,,CB3124,ACH
720575940626693130,intrinsic,central,,,VLPl2_medial,right,,PS057,GLUT
720575940626829840,intrinsic,central,mAL,,CREa1_ventral,left,,mAL_f4,GABA
720575940627833860,intrinsic,central,,,VPNl&d1_dorsal,left,,CB2051,ACH
720575940628257730,intrinsic,central,,,DM5_ventral,right,,WED164b,ACH
720575940628862330,intrinsic,central,,,DM6_dorso_lateral,left,,SIP069,ACH
720575940629066770,intrinsic,central,,,VLPl&d1_lateral,left,,CB3184,ACH
720575940629186170,intrinsic,central,,,VLPp1,right,,AVLP548_d,GLUT
720575940630036240,intrinsic,central,,,DM3_dorso_lateral,left,,SMP317b,ACH
720575940630244060,efferent,descending,,,MX12__prim,right,CV,DNg33,
720575940631248940,intrinsic,central,,,VLPl&p2_lateral,left,,CB0763,ACH
720575940631532140,intrinsic,central,,,LALv1_ventral,left,,CB1342,
720575940632037260,afferent,sensory,mechanosensory,auditory,,right,AN,JO-B,
720575940632363420,intrinsic,central,,,VPNp&v1_posterior,left,,PLP158,GABA
720575940632559820,intrinsic,central,,,DL1_dorsal,left,,LHPV5b2,ACH
720575940633567900,intrinsic,central,,,LALa1_anterior,left,,CB3879,GABA
720575940633996700,intrinsic,central,,,LHl2_ventral,right,,CB1116,GLUT
720575940636006000,intrinsic,central,,,TRdl_b,left,,CB2864,ACH
720575940636571310,intrinsic,central,Kenyon_Cell,,MBp3,left,,KCab-p,ACH
720575940636844870,intrinsic,central,,,SMPpv2_ventral,left,,VES065,ACH
720575940637980750,intrinsic,central,,,putative_primary,left,,AVLP219b,
720575940639075150,intrinsic,central,DAN,,CREa2_medial,left,,PAM10,DA
720575940644696430,intrinsic,central,,,VLPp&l1_anterior,right,,PVLP104,GABA
720575940645670020,intrinsic,central,,,WEDa2,left,,WEDPN3,GABA
720575940646852660,intrinsic,central,DAN,,putative_primary,right,,PPL203,DA
720575940647472260,intrinsic,central,LHLN,,LHp1,left,,LHPV4a2,GLUT
720575940607573001,intrinsic,central,,,putative_primary,right,,CB0828,GLUT
720575940610501571,intrinsic,central,,,VLPa1_lateral,right,,AVLP283,ACH
720575940610960021,afferent,ascending,AN,AN_multi,,left,CV,AN_multi_118,ACH
720575940613623961,intrinsic,central,,,SLPav1_medial,left,,LHAV3e2,ACH
720575940613707431,intrinsic,central,,,VLPl&p2_lateral,right,,AVLP143a,ACH
720575940614840891,intrinsic,central,,,ALl1_ventral,left,,CB1542,ACH
720575940615537041,afferent,ascending,AN,AN_AVLP_GNG,,right,CV,AN_AVLP_GNG_4,ACH
720575940615749051,intrinsic,central,,,SLPav3,right,,CB3762,GLUT
720575940617190361,intrinsic,central,,,putative_primary,right,,CB0529,ACH
720575940617918091,afferent,ascending,AN,AN_multi,,left,CV,AN_multi_128,ACH
720575940618072891,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,,Mi4,GABA
720575940618330041,intrinsic,central,,,putative_primary,left,,AVLP498,ACH
720575940619730091,intrinsic,central,,,LHa1,left,,SLP114,ACH
720575940620610881,intrinsic,central,,,SLPal3_and_SLPal4_dorsal,right,,CB1152,GLUT
720575940621528191,intrinsic,central,,,SLPp&v1_posterior,left,,LHPV4c4,GLUT
720575940622259811,afferent,ascending,AN,AN_GNG_PRW,,left,CV,AN_GNG_LAL_1,ACH
720575940622629011,intrinsic,central,,,VLPl&p1_posterior,right,,CB1897,ACH
720575940622853011,afferent,sensory,gustatory,low-salt,,right,MxLbN,LB2a-b,
720575940623118261,intrinsic,central,,,SLPpm3,left,,CB2592,ACH
720575940624515571,intrinsic,central,ALPN,uniglomerular,ALlv1,left,,VC5_lvPN,ACH
720575940626433881,intrinsic,central,,,DM5_central,right,,SAD085,ACH
720575940627180561,intrinsic,central,,,VLPl1_or_VLPl5,right,,CB0956,ACH
720575940627203461,intrinsic,central,,,putative_primary,right,,SIP081,ACH
720575940627641841,intrinsic,central,,,DM6_dorso_lateral,left,,CB1831,ACH
720575940628188471,intrinsic,central,,,LHl2_ventral,left,,CB1116,GLUT
720575940628240521,intrinsic,central,,,LHl2_ventral,left,,CB2342,GLUT
720575940628916791,intrinsic,central,,,putative_primary,right,,CL344,DA
720575940629602871,intrinsic,central,,,VLPl&p2_posterior,left,,PVLP122b,ACH
720575940629666971,intrinsic,visual_centrifugal,ocellar,,,left,,OCC02a,GLUT
720575940630302551,intrinsic,central,,,VLPl2_medial,left,,AVLP434_b,ACH
720575940630329411,intrinsic,central,,,SLPal2,left,,CB1923,
720575940630448431,intrinsic,central,,,DM5_central,left,,CB3098,ACH
720575940632017121,intrinsic,central,,,DM6_posterior,right,,CB2462,GLUT
720575940632305711,intrinsic,central,,,putative_primary,left,,CB0487,GABA
720575940633364831,intrinsic,central,,,VLPl1_or_VLPl5,right,,CB1575,ACH
720575940634289771,intrinsic,central,,,VLPl&d1_lateral,right,,CB1109,ACH
720575940635001881,intrinsic,central,,,DM4_dorsal,left,,SMP408_b,ACH
720575940635138911,intrinsic,central,,,VLPp&l1_anterior,left,,LHPV2e1_a,GABA
720575940635534271,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,,T5b,ACH
720575940636033001,intrinsic,central,,,VLPl2_medial,right,,AVLP194_b,ACH
720575940636111081,intrinsic,central,,,VLPl&p2_lateral,right,,CB3006,ACH
720575940638061631,intrinsic,central,,,putative_primary,left,,SMP054,GABA
720575940638094911,efferent,descending,,,LB7,right,CV,DNge091,
720575940639574261,intrinsic,central,,,VLPl&d1_dorsal,right,,AVLP227,ACH
720575940641948661,intrinsic,visual_projection,,,VLPp&l1_lateral,right,,LC40,ACH
720575940642412941,intrinsic,central,,,ALl1_ventral,right,,CB1542,ACH
720575940643311501,intrinsic,central,DAN,,CREa1_dorsal,left,,PAM10,DA
720575940650635641,intrinsic,central,,,DM6_dorso_lateral,left,,SMP373,ACH
720575940661335681,intrinsic,central,,,MX12__prim,left,,CB0180,GABA
720575940608321922,afferent,ascending,AN,AN_GNG,,left,CV,AN_GNG_112,ACH
720575940608889902,intrinsic,central,,,WEDa2,left,,WEDPN2A,GABA
